epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,185.524,1.82035,1.41421,1.05571,0.62847,0.72352,0.67037,0.30534,2.11381,1.38106,1.18911,0.0009035,0.0009035,0.0009035
72,188.115,1.77013,1.37004,1.06159,0.65445,0.62922,0.60249,0.26558,2.13217,1.47997,1.20968,0.00089855,0.00089855,0.00089855
73,190.844,1.86427,1.41209,1.02421,0.57503,0.46345,0.48482,0.20867,2.15003,1.61744,1.22065,0.0008936,0.0008936,0.0008936
74,193.42,1.76503,1.2183,1.00994,0.79659,0.51591,0.61056,0.25777,2.16386,1.58805,1.19574,0.00088865,0.00088865,0.00088865
75,195.972,1.65668,1.19673,0.98031,0.77316,0.60254,0.63465,0.31639,2.27464,1.70982,1.25034,0.0008837,0.0008837,0.0008837
76,198.567,1.80488,1.27031,1.01146,0.75556,0.56347,0.59801,0.2575,2.40777,1.78222,1.28392,0.00087875,0.00087875,0.00087875
77,201.098,1.84354,1.32329,1.0086,0.57706,0.63262,0.57071,0.24662,2.1601,1.90626,1.18993,0.0008738,0.0008738,0.0008738
78,203.664,1.75697,1.22757,1.02886,0.52517,0.65041,0.57477,0.22583,2.3244,1.70685,1.38992,0.00086885,0.00086885,0.00086885
79,206.276,1.70168,1.19998,0.94439,0.51758,0.55702,0.55306,0.23296,2.10809,1.70394,1.21118,0.0008639,0.0008639,0.0008639
80,208.857,1.71951,1.34215,0.94972,0.60431,0.54704,0.57164,0.26642,2.08846,1.69814,1.29264,0.00085895,0.00085895,0.00085895
81,211.426,1.76025,1.2638,0.99788,0.44523,0.63038,0.49178,0.20003,2.19598,1.63846,1.33254,0.000854,0.000854,0.000854
82,213.978,1.83538,1.26471,1.03107,0.7778,0.59848,0.60888,0.23956,2.10871,1.59648,1.25726,0.00084905,0.00084905,0.00084905
83,216.681,1.79778,1.25281,1.04086,0.53922,0.52694,0.48931,0.18186,2.16279,1.60291,1.25734,0.0008441,0.0008441,0.0008441
84,219.298,1.79219,1.22901,1.01185,0.62718,0.6403,0.62034,0.27068,2.10107,1.46116,1.22621,0.00083915,0.00083915,0.00083915
85,221.873,1.70894,1.23954,0.98666,0.58106,0.54801,0.57393,0.22692,2.13628,1.52379,1.18803,0.0008342,0.0008342,0.0008342
86,224.422,1.8063,1.18928,0.96978,0.58139,0.50077,0.53001,0.21014,2.12777,1.74642,1.23212,0.00082925,0.00082925,0.00082925
87,226.992,1.75156,1.17164,0.93892,0.72446,0.45677,0.52655,0.18981,2.21222,1.78384,1.24452,0.0008243,0.0008243,0.0008243
88,229.552,1.78131,1.22717,1.03839,0.56771,0.55945,0.52593,0.20558,2.21468,1.54919,1.25343,0.00081935,0.00081935,0.00081935
89,232.124,1.75625,1.08685,0.96013,0.74754,0.50231,0.56821,0.19833,2.32401,1.67527,1.29871,0.0008144,0.0008144,0.0008144
90,234.673,1.68041,1.24641,0.95288,0.63955,0.54735,0.57437,0.2123,2.15897,1.6747,1.29192,0.00080945,0.00080945,0.00080945
91,237.26,1.74424,1.09798,0.96019,0.79962,0.56906,0.6128,0.26096,2.07289,1.51431,1.1753,0.0008045,0.0008045,0.0008045
92,240.1,1.69277,1.06722,0.91209,0.69123,0.66662,0.67688,0.28601,2.08408,1.40025,1.3096,0.00079955,0.00079955,0.00079955
93,242.682,1.73543,1.20263,1.006,0.72564,0.60065,0.66382,0.27796,2.07034,1.47361,1.20796,0.0007946,0.0007946,0.0007946
94,245.295,1.55927,1.08359,0.9256,0.51358,0.57305,0.50755,0.21652,2.17618,1.50325,1.20816,0.00078965,0.00078965,0.00078965
95,247.859,1.66786,1.07257,0.99744,0.58873,0.64291,0.55405,0.23217,2.14669,1.56564,1.27269,0.0007847,0.0007847,0.0007847
96,250.467,1.5984,1.09694,0.93893,0.66571,0.71326,0.65567,0.28828,2.04496,1.39116,1.26522,0.00077975,0.00077975,0.00077975
97,253.087,1.77904,1.15519,0.97319,0.64151,0.60208,0.56068,0.25909,2.15042,1.49178,1.26343,0.0007748,0.0007748,0.0007748
98,255.663,1.54153,1.03136,0.99413,0.56126,0.64747,0.58527,0.2648,2.10989,1.47882,1.30369,0.00076985,0.00076985,0.00076985
99,258.257,1.6316,1.12145,1.01324,0.66798,0.65526,0.62872,0.27233,2.12162,1.42412,1.29512,0.0007649,0.0007649,0.0007649
100,260.883,1.72939,1.06751,0.94417,0.70008,0.67283,0.69063,0.27102,2.13939,1.52207,1.25973,0.00075995,0.00075995,0.00075995
101,263.639,1.64727,1.15749,0.96839,0.5496,0.54698,0.54369,0.23934,2.11499,1.52007,1.2926,0.000755,0.000755,0.000755
102,266.204,1.71773,1.20978,0.94914,0.73536,0.61477,0.64897,0.2754,2.01944,1.47236,1.30266,0.00075005,0.00075005,0.00075005
103,268.781,1.6233,1.19019,0.97941,0.53016,0.63998,0.56971,0.24862,2.11209,1.51733,1.30393,0.0007451,0.0007451,0.0007451
104,271.349,1.65921,1.07521,0.99232,0.56797,0.66339,0.60288,0.25749,2.09431,1.47744,1.23796,0.00074015,0.00074015,0.00074015
105,273.907,1.60044,0.97285,0.98484,0.64715,0.68069,0.64532,0.26054,2.09107,1.4097,1.2596,0.0007352,0.0007352,0.0007352
106,276.472,1.6943,1.13421,0.99027,0.68948,0.58972,0.61343,0.25395,2.11769,1.54799,1.20729,0.00073025,0.00073025,0.00073025
107,279.012,1.52877,1.05407,0.94437,0.71469,0.62062,0.62093,0.25605,2.15802,1.56255,1.27341,0.0007253,0.0007253,0.0007253
108,281.57,1.61232,1.06299,0.95552,0.69503,0.60173,0.66373,0.29507,2.01249,1.55861,1.21815,0.00072035,0.00072035,0.00072035
109,284.137,1.5371,0.99452,0.93878,0.52238,0.65048,0.63685,0.28002,2.12798,1.5361,1.3023,0.0007154,0.0007154,0.0007154
110,286.693,1.69437,1.09526,0.94826,0.86816,0.54135,0.61932,0.23695,2.0735,1.49689,1.24672,0.00071045,0.00071045,0.00071045
111,289.416,1.55873,0.98703,0.93751,0.65421,0.65594,0.63767,0.27041,2.0848,1.38411,1.2578,0.0007055,0.0007055,0.0007055
112,292.017,1.61944,0.99711,0.98436,0.76643,0.63732,0.68398,0.29962,2.09347,1.30315,1.34895,0.00070055,0.00070055,0.00070055
113,294.584,1.57603,1.07387,1.00245,0.68909,0.59181,0.65894,0.28073,2.11628,1.29425,1.29777,0.0006956,0.0006956,0.0006956
114,297.16,1.56434,0.93943,0.94706,0.59317,0.67403,0.6515,0.29244,2.05379,1.40217,1.16662,0.00069065,0.00069065,0.00069065
